id,x,y,z,grainId,colorRGB,energy
0,0,0,0,5,255 0 0,1
1,0,1,0,5,255 0 0,2
2,0,2,0,3,0 101 255,2
3,0,3,0,3,0 101 255,1
4,0,4,0,3,0 101 255,1
5,1,0,0,4,204 0 255,1
6,1,1,0,4,204 0 255,2
7,1,2,0,1,203 255 0,2
8,1,3,0,1,203 255 0,1
9,1,4,0,1,203 255 0,1
10,2,0,0,4,204 0 255,1
11,2,1,0,4,204 0 255,2
12,2,2,0,1,203 255 0,2
13,2,3,0,1,203 255 0,0
14,2,4,0,1,203 255 0,0
15,3,0,0,2,0 255 102,1
16,3,1,0,2,0 255 102,1
17,3,2,0,2,0 255 102,2
18,3,3,0,1,203 255 0,2
19,3,4,0,1,203 255 0,0
20,4,0,0,2,0 255 102,0
21,4,1,0,2,0 255 102,0
22,4,2,0,2,0 255 102,0
23,4,3,0,2,0 255 102,2
24,4,4,0,1,203 255 0,1
