id,x,y,z,grainId,colorRGB,energy
0,0,0,0,8,0 203 255,0
1,0,1,0,8,0 203 255,0
2,0,2,0,8,0 203 255,0
3,0,3,0,8,0 203 255,0
4,0,4,0,8,0 203 255,1
5,0,5,0,8,0 203 255,4
6,0,6,0,14,255 0 102,2
7,0,7,0,14,255 0 102,0
8,0,8,0,14,255 0 102,0
9,0,9,0,14,255 0 102,0
10,0,10,0,14,255 0 102,0
11,0,11,0,14,255 0 102,0
12,0,12,0,14,255 0 102,0
13,0,13,0,14,255 0 102,0
14,0,14,0,14,255 0 102,0
15,0,15,0,14,255 0 102,0
16,0,16,0,14,255 0 102,0
17,0,17,0,14,255 0 102,0
18,0,18,0,14,255 0 102,1
19,0,19,0,14,255 0 102,4
20,0,20,0,12,204 0 255,2
21,0,21,0,12,204 0 255,0
22,0,22,0,12,204 0 255,0
23,0,23,0,12,204 0 255,0
24,0,24,0,12,204 0 255,0
25,0,25,0,12,204 0 255,0
26,0,26,0,12,204 0 255,0
27,0,27,0,12,204 0 255,0
28,0,28,0,12,204 0 255,3
29,0,29,0,8,0 203 255,3
30,1,0,0,8,0 203 255,0
31,1,1,0,8,0 203 255,0
32,1,2,0,8,0 203 255,1
33,1,3,0,8,0 203 255,2
34,1,4,0,8,0 203 255,4
35,1,5,0,14,255 0 102,4
36,1,6,0,14,255 0 102,1
37,1,7,0,14,255 0 102,0
38,1,8,0,14,255 0 102,0
39,1,9,0,14,255 0 102,0
40,1,10,0,14,255 0 102,0
41,1,11,0,14,255 0 102,0
42,1,12,0,14,255 0 102,0
43,1,13,0,14,255 0 102,0
44,1,14,0,14,255 0 102,0
45,1,15,0,14,255 0 102,0
46,1,16,0,14,255 0 102,0
47,1,17,0,14,255 0 102,1
48,1,18,0,14,255 0 102,3
49,1,19,0,12,204 0 255,3
50,1,20,0,12,204 0 255,1
51,1,21,0,12,204 0 255,0
52,1,22,0,12,204 0 255,0
53,1,23,0,12,204 0 255,0
54,1,24,0,12,204 0 255,0
55,1,25,0,12,204 0 255,0
56,1,26,0,12,204 0 255,0
57,1,27,0,12,204 0 255,0
58,1,28,0,12,204 0 255,3
59,1,29,0,8,0 203 255,3
60,2,0,0,8,0 203 255,3
61,2,1,0,8,0 203 255,3
62,2,2,0,8,0 203 255,4
63,2,3,0,9,0 101 255,4
64,2,4,0,9,0 101 255,5
