id,x,y,z,grainId,colorRGB,energy
0,0,0,0,9,0 255 178,0
1,0,0,1,9,0 255 178,0
2,0,0,2,9,0 255 178,0
3,0,0,3,9,0 255 178,0
4,0,0,4,9,0 255 178,0
5,0,0,5,9,0 255 178,0
6,0,0,6,9,0 255 178,1
7,0,0,7,6,50 255 0,1
8,0,0,8,6,50 255 0,0
9,0,0,9,6,50 255 0,0
10,0,0,10,6,50 255 0,0
11,0,0,11,6,50 255 0,0
12,0,0,12,6,50 255 0,0
13,0,0,13,6,50 255 0,0
14,0,0,14,6,50 255 0,0
15,0,0,15,6,50 255 0,0
16,0,0,16,6,50 255 0,0
17,0,0,17,6,50 255 0,0
18,0,0,18,6,50 255 0,0
19,0,0,19,6,50 255 0,0
20,0,0,20,6,50 255 0,1
21,0,0,21,13,0 25 255,1
22,0,0,22,13,0 25 255,0
23,0,0,23,13,0 25 255,0
24,0,0,24,13,0 25 255,0
25,0,0,25,13,0 25 255,0
26,0,0,26,13,0 25 255,0
27,0,0,27,13,0 25 255,0
28,0,0,28,13,0 25 255,0
29,0,0,29,13,0 25 255,1
30,0,1,0,9,0 255 178,0
31,0,1,1,9,0 255 178,0
32,0,1,2,9,0 255 178,0
33,0,1,3,9,0 255 178,0
34,0,1,4,9,0 255 178,0
35,0,1,5,9,0 255 178,0
36,0,1,6,9,0 255 178,1
37,0,1,7,6,50 255 0,1
38,0,1,8,6,50 255 0,0
39,0,1,9,6,50 255 0,0
40,0,1,10,6,50 255 0,0
41,0,1,11,6,50 255 0,0
42,0,1,12,6,50 255 0,0
43,0,1,13,6,50 255 0,0
44,0,1,14,6,50 255 0,0
45,0,1,15,6,50 255 0,0
46,0,1,16,6,50 255 0,0
47,0,1,17,6,50 255 0,0
48,0,1,18,6,50 255 0,0
49,0,1,19,6,50 255 0,0
50,0,1,20,6,50 255 0,1
51,0,1,21,13,0 25 255,1
52,0,1,22,13,0 25 255,0
53,0,1,23,13,0 25 255,0
54,0,1,24,13,0 25 255,0
55,0,1,25,13,0 25 255,0
56,0,1,26,13,0 25 255,0
57,0,1,27,13,0 25 255,0
58,0,1,28,13,0 25 255,0
59,0,1,29,13,0 25 255,1
60,0,2,0,9,0 255 178,0
61,0,2,1,9,0 255 178,0
62,0,2,2,9,0 255 178,0
63,0,2,3,9,0 255 178,0
64,0,2,4,9,0 255 178,0
65,0,2,5,9,0 255 178,0
66,0,2,6,9,0 255 178,1
67,0,2,7,6,50 255 0,1
68,0,2,8,6,50 255 0,0
69,0,2,9,6,50 255 0,0
70,0,2,10,6,50 255 0,0
71,0,2,11,6,50 255 0,0
72,0,2,12,6,50 255 0,0
73,0,2,13,6,50 255 0,0
74,0,2,14,6,50 255 0,0
75,0,2,15,6,50 255 0,0
76,0,2,16,6,50 255 0,0
77,0,2,17,6,50 255 0,0
78,0,2,18,6,50 255 0,0
79,0,2,19,6,50 255 0,0
80,0,2,20,6,50 255 0,1
81,0,2,21,13,0 25 255,2
82,0,2,22,13,0 25 255,0
83,0,2,23,13,0 25 255,0
84,0,2,24,13,0 25 255,0
85,0,2,25,13,0 25 255,0
86,0,2,26,13,0 25 255,0
87,0,2,27,13,0 25 255,0
88,0,2,28,13,0 25 255,0
89,0,2,29,13,0 25 255,1
90,0,3,0,9,0 255 178,0
91,0,3,1,9,0 255 178,0
92,0,3,2,9,0 255 178,0
93,0,3,3,9,0 255 178,0
94,0,3,4,9,0 255 178,0
95,0,3,5,9,0 255 178,0
96,0,3,6,9,0 255 178,1
97,0,3,7,6,50 255 0,1
98,0,3,8,6,50 255 0,0
99,0,3,9,6,50 255 0,0
100,0,3,10,6,50 255 0,0
101,0,3,11,6,50 255 0,0
102,0,3,12,6,50 255 0,0
103,0,3,13,6,50 255 0,0
104,0,3,14,6,50 255 0,0
105,0,3,15,6,50 255 0,0
106,0,3,16,6,50 255 0,0
107,0,3,17,6,50 255 0,0
108,0,3,18,6,50 255 0,0
109,0,3,19,6,50 255 0,0
110,0,3,20,6,50 255 0,0
111,0,3,21,6,50 255 0,2
112,0,3,22,13,0 25 255,2
113,0,3,23,13,0 25 255,0
114,0,3,24,13,0 25 255,0
115,0,3,25,13,0 25 255,0
116,0,3,26,13,0 25 255,0
117,0,3,27,13,0 25 255,0
118,0,3,28,13,0 25 255,0
119,0,3,29,13,0 25 255,1
120,0,4,0,9,0 255 178,0
121,0,4,1,9,0 255 178,0
122,0,4,2,9,0 255 178,0
123,0,4,3,9,0 255 178,0
124,0,4,4,9,0 255 178,0
125,0,4,5,9,0 255 178,0
126,0,4,6,9,0 255 178,1
127,0,4,7,6,50 255 0,1
128,0,4,8,6,50 255 0,0
129,0,4,9,6,50 255 0,0
130,0,4,10,6,50 255 0,0
131,0,4,11,6,50 255 0,0
132,0,4,12,6,50 255 0,0
133,0,4,13,6,50 255 0,0
134,0,4,14,6,50 255 0,0
135,0,4,15,6,50 255 0,0
136,0,4,16,6,50 255 0,0
137,0,4,17,6,50 255 0,0
138,0,4,18,6,50 255 0,0
139,0,4,19,6,50 255 0,0
140,0,4,20,6,50 255 0,0
141,0,4,21,6,50 255 0,0
142,0,4,22,6,50 255 0,2
143,0,4,23,13,0 25 255,2
144,0,4,24,13,0 25 255,0
145,0,4,25,13,0 25 255,0
146,0,4,26,13,0 25 255,0
147,0,4,27,13,0 25 255,0
148,0,4,28,13,0 25 255,0
149,0,4,29,13,0 25 255,1
150,0,5,0,9,0 255 178,0
151,0,5,1,9,0 255 178,0
152,0,5,2,9,0 255 178,0
153,0,5,3,9,0 255 178,0
154,0,5,4,9,0 255 178,0
155,0,5,5,9,0 255 178,0
156,0,5,6,9,0 255 178,1
157,0,5,7,6,50 255 0,1
158,0,5,8,6,50 255 0,0
159,0,5,9,6,50 255 0,0
160,0,5,10,6,50 255 0,0
161,0,5,11,6,50 255 0,0
162,0,5,12,6,50 255 0,0
163,0,5,13,6,50 255 0,0
164,0,5,14,6,50 255 0,0
165,0,5,15,6,50 255 0,0
166,0,5,16,6,50 255 0,0
167,0,5,17,6,50 255 0,0
168,0,5,18,6,50 255 0,0
