id,x,y,z,grainId,colorRGB,energy
0,0,0,0,13,0 255 153,0
1,0,0,1,13,0 255 153,0
2,0,0,2,13,0 255 153,0
3,0,0,3,13,0 255 153,0
4,0,0,4,13,0 255 153,7
5,0,0,5,7,153 255 0,11
6,0,0,6,7,153 255 0,2
7,0,0,7,7,153 255 0,0
8,0,0,8,7,153 255 0,0
9,0,0,9,7,153 255 0,0
10,0,0,10,7,153 255 0,0
11,0,0,11,7,153 255 0,0
12,0,0,12,7,153 255 0,0
13,0,0,13,7,153 255 0,0
14,0,0,14,7,153 255 0,0
15,0,0,15,7,153 255 0,5
16,0,0,16,7,153 255 0,14
17,0,0,17,22,102 0 255,4
18,0,0,18,22,102 0 255,0
19,0,0,19,22,102 0 255,0
20,0,0,20,22,102 0 255,0
21,0,0,21,22,102 0 255,0
22,0,0,22,22,102 0 255,0
23,0,0,23,22,102 0 255,0
24,0,0,24,22,102 0 255,0
25,0,0,25,22,102 0 255,0
26,0,0,26,22,102 0 255,0
27,0,0,27,22,102 0 255,0
28,0,0,28,22,102 0 255,0
29,0,0,29,22,102 0 255,0
30,0,0,30,22,102 0 255,3
31,0,0,31,22,102 0 255,12
32,0,0,32,27,255 0 152,6
33,0,0,33,27,255 0 152,0
34,0,0,34,27,255 0 152,0
35,0,0,35,27,255 0 152,0
36,0,0,36,27,255 0 152,0
37,0,0,37,27,255 0 152,0
38,0,0,38,27,255 0 152,0
39,0,0,39,27,255 0 152,0
40,0,0,40,27,255 0 152,0
41,0,0,41,27,255 0 152,2
42,0,0,42,27,255 0 152,9
43,0,0,43,17,0 152 255,12
44,0,0,44,17,0 152 255,14
45,0,0,45,25,255 0 255,6
46,0,0,46,25,255 0 255,0
47,0,0,47,25,255 0 255,0
48,0,0,48,25,255 0 255,9
49,0,0,49,13,0 255 153,9
50,0,1,0,13,0 255 153,0
51,0,1,1,13,0 255 153,0
52,0,1,2,13,0 255 153,0
53,0,1,3,13,0 255 153,2
54,0,1,4,13,0 255 153,10
55,0,1,5,7,153 255 0,8
56,0,1,6,7,153 255 0,1
57,0,1,7,7,153 255 0,0
58,0,1,8,7,153 255 0,0
59,0,1,9,7,153 255 0,0
60,0,1,10,7,153 255 0,0
61,0,1,11,7,153 255 0,0
62,0,1,12,7,153 255 0,0
63,0,1,13,7,153 255 0,0
64,0,1,14,7,153 255 0,1
65,0,1,15,7,153 255 0,8
66,0,1,16,22,102 0 255,10
67,0,1,17,22,102 0 255,2
68,0,1,18,22,102 0 255,0
69,0,1,19,22,102 0 255,0
70,0,1,20,22,102 0 255,0
71,0,1,21,22,102 0 255,0
72,0,1,22,22,102 0 255,0
73,0,1,23,22,102 0 255,0
74,0,1,24,22,102 0 255,0
75,0,1,25,22,102 0 255,0
76,0,1,26,22,102 0 255,0
77,0,1,27,22,102 0 255,0
78,0,1,28,22,102 0 255,0
79,0,1,29,22,102 0 255,3
80,0,1,30,22,102 0 255,9
81,0,1,31,27,255 0 152,9
82,0,1,32,27,255 0 152,3
83,0,1,33,27,255 0 152,0
